filename,score,sentiment_label
all_recordings\complaints_converted_Audio Trimmer6.mp3,0.8734978437423706,negative
all_recordings\complaints_converted_Audio Trimmer7.mp3,0.9515472054481506,negative
all_recordings\sales_converted_Audio Trimmer1.mp3,0.5423350930213928,neutral
all_recordings\sales_converted_Audio Trimmer2.mp3,0.6208059191703796,positive
all_recordings\sales_converted_Audio Trimmer3.mp3,0.8377203345298767,neutral
all_recordings\sales_converted_Audio Trimmer4.mp3,0.9080823063850403,neutral
all_recordings\sales_converted_Audio Trimmer5.mp3,0.8786247968673706,neutral
all_recordings\support_converted_Audio Trimmer1.mp3,0.838129460811615,negative
all_recordings\support_converted_Audio Trimmer2.mp3,0.6226493716239929,negative
all_recordings\support_converted_Audio Trimmer3.mp3,0.7190209627151489,negative
all_recordings\support_converted_Audio Trimmer4.mp3,0.5797412395477295,negative
all_recordings\support_converted_Audio Trimmer5.mp3,0.723520040512085,negative
